"time","close","high","low","open","volumefrom","volumeto"
"2017-09-20",17.26,19.89,16.57,19.69,427743.03,7628628.54
"2017-09-21",18.56,19.36,16.97,17.26,322903.92,5831259.77
"2017-09-22",20.05,20.62,18.22,18.56,207530.57,4085429.36
"2017-09-23",19.65,20.44,19.14,20.05,109610.99,2157644.39
"2017-09-24",25.94,27.42,19.59,19.65,1082496.9,26188348.95
"2017-09-25",26.39,27.38,24.32,25.94,801819.68,20942064.55
"2017-09-26",31.82,34.01,26.38,26.39,1717031.66,53254433.22
"2017-09-27",29.92,32.79,27.59,31.82,1166544.19,34735362.79
"2017-09-28",28.64,30.46,25.96,29.92,1063367.34,29841027.6
"2017-09-29",34.32,34.48,28.4,28.64,975916.15,31274419.15
"2017-09-30",35.72,35.96,31.84,34.32,778373.19,26185153.57
"2017-10-01",36.61,38.95,34.62,35.72,1216547.87,44397356.89
"2017-10-02",33.57,36.77,31.88,36.61,949524.54,31996711.63
"2017-10-03",31.17,35.29,30.1,33.57,731593.28,23932835.26
"2017-10-04",32.28,33.63,28.83,31.17,898161.38,28374959.28
"2017-10-05",33.49,34.47,32.08,32.28,517788.61,17325037.1
"2017-10-06",35.88,36.27,33.16,33.49,357662.54,12309615.06
"2017-10-07",32.15,37.24,31.03,35.88,1048186.89,36154104.93
"2017-10-08",28.96,32.98,26.64,32.15,1088434.78,32394393.64
"2017-10-09",29.34,31.44,28.03,28.96,430685.66,12832954.3
"2017-10-10",30.03,31.28,29.32,29.34,255735.93,7735835.04
"2017-10-11",28.23,30.47,27.57,30.03,499233.86,14455715.77
"2017-10-12",29.34,29.83,26.7,28.23,696454.36,19560006.31
"2017-10-13",27.69,29.55,27.56,29.34,227988.11,6503382.03
"2017-10-14",27.87,28.38,27.01,27.69,219790.24,6041511.19
"2017-10-15",28.61,29.04,27.04,27.87,255914.79,7172466.03
"2017-10-16",31.36,32.56,27.7,28.6,693099.57,21072024.66
"2017-10-17",29.66,31.73,28.3,31.36,407965.29,12113914.4
"2017-10-18",28.81,30.02,28.52,29.65,189805.32,5491554.59
"2017-10-19",27.78,29.63,27.74,28.8,289646.35,8274002.49
"2017-10-20",27.12,28.22,25.87,27.72,259477.94,7005535.07
"2017-10-21",28.92,29.58,26.97,27.15,251987.54,7194047.99
"2017-10-22",27.82,28.62,26.51,28.57,213185.78,5810905.01
"2017-10-23",30.86,32.58,27.04,27.84,560153.28,17148691.96
