"time","close","high","low","open","volumefrom","volumeto"
"2017-10-01",419.68,432.22,410.32,418.05,71968.89,30198291.7
"2017-10-02",401.41,420.69,393.03,419.68,42773.01,17248218.77
"2017-10-03",355.75,403.22,351.3,401.41,124502.91,46419226.31
"2017-10-04",354.4,368.14,343.72,355.75,107627.58,38188747.04
"2017-10-05",363.22,374.54,352.91,354.4,53859.01,19726320.95
"2017-10-06",359.81,368.17,354.21,363.22,32557.49,11726397.59
"2017-10-07",343.52,363.79,335.7,359.81,62838.57,22147895.06
"2017-10-08",312.43,343.95,282.18,343.52,135597.09,42738393.43
"2017-10-09",317.19,350.11,304.52,312.43,125190.16,40789265.44
"2017-10-10",314.21,320.54,309.23,317.19,61615.98,19338916.48
"2017-10-11",310.56,331.11,306.25,314.21,101049.2,32051057.84
"2017-10-12",320.11,324.32,291.98,310.56,118653.63,36812373.16
"2017-10-13",321.67,327.54,314.65,320.11,67206.51,21544074.06
"2017-10-14",314.1,323.38,307.61,321.67,37848.62,11896226.69
"2017-10-15",313.94,317.85,310.07,314.05,27676.61,8702010.54
"2017-10-16",367.84,399.86,308.23,313.99,243410.54,88485919.9
"2017-10-17",338.72,374.16,305.96,367.94,120444.57,40142126.1
"2017-10-18",329.66,339,323.81,338.77,54347.94,17971549.74
"2017-10-19",326.03,333.91,320.67,329.6,43810.23,14375667.89
"2017-10-20",322.12,329.13,313.13,326.15,31405.55,10098593.04
"2017-10-21",325.88,358.27,318.36,321.94,93903.63,31515652.72
"2017-10-22",312.05,329.97,300.26,324.88,66606.73,20958214.24
"2017-10-23",326.98,337.42,303.73,312.05,71327.69,23189728.28
